problem1a
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
  251        5979    7.615977e-01     2.389e-08     1.628e-03     4.389e-05     2.032e-03  
  252        5999    7.615977e-01     2.408e-08     1.628e-03     4.325e-05     2.068e-03  
  253        6019    7.615977e-01     2.425e-08     1.628e-03     4.264e-05     2.103e-03  
  254        6039    7.615977e-01     2.442e-08     1.628e-03     4.206e-05     2.138e-03  
  255        6059    7.615977e-01     2.459e-08     1.628e-03     4.150e-05     2.173e-03  
  256        6079    7.615977e-01     2.475e-08     1.628e-03     4.098e-05     2.207e-03  
  257        6099    7.615977e-01     2.490e-08     1.628e-03     4.047e-05     2.240e-03  
  258        6119    7.615977e-01     2.505e-08     1.628e-03     3.999e-05     2.273e-03  
  259        6139    7.615977e-01     2.520e-08     1.628e-03     3.953e-05     2.306e-03  
  260        6159    7.615977e-01     2.534e-08     1.628e-03     3.908e-05     2.338e-03  
  261        6178    7.615977e-01     2.564e-08     2.326e-03     5.523e-05     2.384e-03  
  262        6197    7.615977e-01     2.593e-08     2.326e-03     5.422e-05     2.429e-03  
  263        6216    7.615977e-01     2.621e-08     2.326e-03     5.331e-05     2.473e-03  
  264        6235    7.615977e-01     2.648e-08     2.326e-03     5.245e-05     2.517e-03  
  265        6254    7.615977e-01     2.673e-08     2.326e-03     5.163e-05     2.560e-03  
  266        6273    7.615977e-01     2.698e-08     2.326e-03     5.086e-05     2.602e-03  
  267        6292    7.615977e-01     2.721e-08     2.326e-03     5.012e-05     2.644e-03  
  268        6311    7.615977e-01     2.744e-08     2.326e-03     4.942e-05     2.685e-03  
  269        6330    7.615977e-01     2.766e-08     2.326e-03     4.875e-05     2.726e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  270        6341    7.615977e-01     9.913e-09     5.765e-02     1.057e-03     3.757e-03  
  271        6353    7.615977e-01     1.247e-08     4.035e-02     5.255e-04     4.272e-03  
