problem7
                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  213     431   -2.172339e+01   4.714e-05   1.000e+00   1.937e-01   1.714e-01
  214     433   -2.172342e+01   2.472e-05   1.000e+00   7.429e-02   9.412e-02
  215     435   -2.172349e+01   1.780e-05   1.000e+00   6.250e-02   1.267e-01
  216     437   -2.172358e+01   4.028e-05   1.000e+00   1.142e-01   2.054e-01
  217     439   -2.172371e+01   1.281e-04   1.000e+00   1.918e-01   2.108e-01
  218     441   -2.172386e+01   2.695e-04   1.000e+00   2.439e-01   1.507e-01
  219     443   -2.172400e+01   3.738e-04   1.000e+00   2.510e-01   1.776e-01
  220     445   -2.172415e+01   5.158e-04   1.000e+00   2.764e-01   2.143e-01
  221     447   -2.172437e+01   8.913e-04   1.000e+00   3.838e-01   2.959e-01
  222     449   -2.172454e+01   5.712e-04   1.000e+00   3.635e-01   2.811e-01
  223     451   -2.172461e+01   7.350e-05   1.000e+00   2.223e-01   1.404e-01
  224     453   -2.172468e+01   2.435e-05   1.000e+00   1.473e-01   1.112e-01
  225     455   -2.172476e+01   4.745e-05   1.000e+00   1.593e-01   1.567e-01
  226     457   -2.172482e+01   2.957e-05   1.000e+00   1.215e-01   1.484e-01
  227     459   -2.172492e+01   1.812e-05   1.000e+00   1.436e-01   1.440e-01
  228     461   -2.172507e+01   2.113e-05   1.000e+00   2.188e-01   1.817e-01
  229     463   -2.172524e+01   6.671e-05   1.000e+00   2.699e-01   2.534e-01
  230     465   -2.172530e+01   5.449e-05   1.000e+00   2.001e-01   1.816e-01
  231     467   -2.172531e+01   1.107e-05   1.000e+00   9.275e-02   7.567e-02
  232     469   -2.172532e+01   4.375e-06   1.000e+00   5.718e-02   4.647e-02
  233     471   -2.172538e+01   1.312e-05   1.000e+00   7.343e-02   7.779e-02
  234     473   -2.172550e+01   4.301e-05   1.000e+00   1.220e-01   1.384e-01
  235     475   -2.172581e+01   3.230e-04   1.000e+00   3.334e-01   2.216e-01
  236     478   -2.172607e+01   2.432e-04   1.000e+00   7.494e-01   2.250e-01
  237     481   -2.172630e+01   5.705e-05   1.000e+00   4.882e-01   2.296e-01
  238     483   -2.172656e+01   3.036e-04   1.000e+00   2.978e-01   2.247e-01
  239     485   -2.172652e+01   2.220e-05   1.000e+00   5.633e-02   1.027e-01
  240     487   -2.172658e+01   5.413e-05   1.000e+00   1.034e-01   7.676e-02

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  241     489   -2.172662e+01   5.173e-05   1.000e+00   9.569e-02   4.888e-02
  242     491   -2.172668e+01   1.620e-05   1.000e+00   7.995e-02   5.409e-02
  243     493   -2.172671e+01   1.312e-05   1.000e+00   7.875e-02   5.793e-02
  244     495   -2.172676e+01   2.414e-05   1.000e+00   1.281e-01   9.240e-02
  245     497   -2.172686e+01   1.441e-04   1.000e+00   2.473e-01   1.255e-01
  246     499   -2.172706e+01   3.917e-04   1.000e+00   3.629e-01   1.403e-01
  247     501   -2.172767e+01   1.516e-03   1.000e+00   8.054e-01   2.768e-01
  248     503   -2.172793e+01   1.758e-03   1.000e+00   6.103e-01   2.211e-01
  249     505   -2.172824e+01   2.416e-04   1.000e+00   3.325e-01   5.208e-01
  250     507   -2.172844e+01   4.475e-04   1.000e+00   2.958e-01   3.830e-01
  251     509   -2.172850e+01   4.358e-04   1.000e+00   2.957e-01   2.071e-01
  252     511   -2.172850e+01   1.123e-04   1.000e+00   1.363e-01   6.504e-02
  253     513   -2.172852e+01   3.589e-05   1.000e+00   6.452e-02   9.660e-02
  254     515   -2.172856e+01   3.964e-05   1.000e+00   6.428e-02   1.601e-01
  255     517   -2.172868e+01   9.451e-05   1.000e+00   1.235e-01   2.629e-01
  256     519   -2.172895e+01   2.624e-04   1.000e+00   2.858e-01   3.966e-01
  257     521   -2.172953e+01   7.303e-04   1.000e+00   6.517e-01   5.189e-01
  258     523   -2.173009e+01   1.901e-03   1.000e+00   7.345e-01   5.416e-01
  259     525   -2.173170e+01   5.865e-03   1.000e+00   1.386e+00   7.795e-01
  260     527   -2.173246e+01   3.582e-04   1.000e+00   2.470e-01   9.614e-01
  261     529   -2.173282e+01   4.916e-04   1.000e+00   3.140e-01   5.204e-01
  262     531   -2.173321e+01   1.337e-03   1.000e+00   4.279e-01   5.044e-01
  263     533   -2.173346e+01   3.023e-04   1.000e+00   2.460e-01   5.348e-01
  264     535   -2.173403e+01   5.917e-04   1.000e+00   2.963e-01   6.275e-01
  265     537   -2.173527e+01   1.824e-03   1.000e+00   5.028e-01   8.392e-01
  266     539   -2.173843e+01   1.323e-02   1.000e+00   1.189e+00   1.367e+00
  267     541   -2.174090e+01   4.692e-03   1.000e+00   9.296e-01   1.800e+00
  268     543   -2.174464e+01   1.958e-03   1.000e+00   1.036e+00   1.166e+00
  269     545   -2.174525e+01   2.837e-03   1.000e+00   5.801e-01   4.605e-01
  270     547   -2.174496e+01   3.743e-04   1.000e+00   2.664e-01   3.289e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  271     549   -2.174452e+01   3.243e-05   1.000e+00   8.169e-02   3.226e-01
  272     552   -2.174546e+01   3.258e-05   1.000e+00   4.227e-01   2.538e-01
  273     555   -2.174626e+01   3.284e-05   1.000e+00   4.202e-01   2.967e-01
  274     558   -2.174760e+01   2.825e-04   1.000e+00   7.668e-01   4.848e-01
  275     561   -2.174872e+01   2.369e-05   1.000e+00   4.431e-01   4.143e-01
  276     564   -2.175029e+01   4.729e-04   1.000e+00   1.145e+00   4.093e-01
  277     566   -2.175077e+01   8.218e-05   1.000e+00   1.816e-01   4.338e-01
  278     568   -2.175229e+01   2.698e-04   1.000e+00   4.323e-01   3.845e-01
  279     570   -2.175327e+01   6.389e-04   1.000e+00   4.874e-01   3.752e-01
  280     573   -2.175416e+01   1.428e-04   1.000e+00   8.333e-01   3.465e-01
  281     575   -2.175536e+01   3.168e-04   1.000e+00   3.123e-01   4.112e-01
  282     578   -2.176176e+01   8.290e-04   1.000e+00   2.083e+00   6.823e-01
  283     581   -2.176551e+01   3.496e-04   1.000e+00   1.083e+00   5.936e-01
  284     584   -2.176701e+01   2.477e-04   1.000e+00   1.130e+00   5.214e-01
  285     587   -2.176736e+01   2.357e-05   1.000e+00   4.071e-01   3.422e-01
  286     590   -2.176751e+01   3.050e-06   1.000e+00   1.735e-01   1.990e-01
  287     593   -2.176762e+01   2.976e-06   1.000e+00   8.006e-02   1.009e-01
  288     596   -2.176778e+01   4.289e-06   1.000e+00   1.355e-01   1.207e-01
  289     599   -2.176798e+01   1.125e-05   1.000e+00   2.375e-01   2.442e-01
  290     602   -2.176823e+01   1.997e-05   1.000e+00   3.405e-01   4.127e-01
  291     605   -2.176850e+01   2.294e-05   1.000e+00   4.042e-01   3.872e-01
  292     608   -2.176875e+01   3.403e-06   1.000e+00   2.989e-01   2.414e-01
  293     611   -2.176896e+01   1.984e-06   1.000e+00   2.887e-01   7.228e-02
  294     613   -2.176908e+01   2.341e-05   1.000e+00   1.494e-01   7.041e-02
  295     616   -2.176914e+01   1.796e-06   1.000e+00   1.678e-01   8.804e-02
  296     619   -2.176920e+01   9.404e-07   1.000e+00   1.069e-01   1.158e-01
  297     622   -2.176926e+01   1.591e-06   1.000e+00   1.130e-01   4.322e-02
  298     625   -2.176935e+01   2.792e-06   1.000e+00   1.791e-01   1.013e-01
  299     628   -2.176953e+01   2.537e-05   1.000e+00   4.164e-01   1.733e-01
  300     631   -2.176981e+01   1.243e-04   1.000e+00   7.339e-01   2.342e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  301     634   -2.177011e+01   1.180e-05   1.000e+00   5.465e-01   3.793e-01
  302     637   -2.177038e+01   7.816e-07   1.000e+00   1.663e-01   3.891e-01
  303     640   -2.177068e+01   5.478e-06   1.000e+00   1.742e-01   1.826e-01
  304     642   -2.177097e+01   8.741e-05   1.000e+00   1.306e-01   1.722e-01
  305     645   -2.177149e+01   1.506e-05   1.000e+00   2.817e-01   1.043e-01
