problem2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  210     643    1.204794e-01    2.091e-04    1.693e-02    2.823e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  211     644    1.204791e-01    3.811e-05    1.468e-02    1.327e-02
  212     645    1.204791e-01    2.828e-06    9.631e-03    3.395e-03
  213     646    1.204790e-01    7.161e-08    5.568e-03    1.868e-03
  214     647    1.204790e-01    1.363e-06    3.333e-03    7.796e-03
  215     648    1.204790e-01    4.106e-07    3.304e-03    4.419e-03
  216     649    1.204790e-01    3.309e-08    3.216e-03    9.141e-04
  217     650    1.204790e-01    6.422e-07    2.592e-03    2.949e-03
  218     651    1.204790e-01    8.339e-07    1.700e-03    2.843e-03
  219     653    1.204790e-01    9.545e-07    4.803e-04    6.164e-03
  220     657    1.204790e-01    2.411e-07    1.187e-03    2.657e-03
  221     664    1.204790e-01    8.772e-10    2.655e-06    5.324e-03
  222     671    1.204789e-01    8.820e-08    1.611e-06    2.271e-02
  223     680    1.204789e-01    2.298e-08    1.416e-06    6.476e-04
  224     687    1.204789e-01    3.238e-12    1.199e-06    1.108e-03
  225     694    1.204789e-01    8.006e-10    1.109e-06    6.118e-03
  226     701    1.204789e-01    7.495e-09    3.247e-06    1.127e-02
  227     708    1.204788e-01    1.695e-08    4.173e-06    1.419e-02
  228     715    1.204788e-01    4.987e-09    6.194e-07    9.214e-03
  229     722    1.204788e-01    2.620e-09    6.772e-07    7.199e-03
  230     729    1.204788e-01    1.438e-09    8.288e-07    5.465e-03
  231     736    1.204788e-01    2.726e-09    2.318e-06    6.402e-03
  232     743    1.204788e-01    3.432e-09    2.436e-06    6.665e-03
  233     750    1.204788e-01    5.163e-09    2.274e-06    7.691e-03
  234     757    1.204788e-01    6.132e-09    2.230e-06    8.739e-03
  235     764    1.204788e-01    9.247e-09    2.261e-06    1.098e-02
  236     771    1.204788e-01    1.145e-08    2.248e-06    1.224e-02
  237     778    1.204787e-01    1.662e-08    2.333e-06    1.473e-02
  238     785    1.204787e-01    1.750e-08    5.461e-07    1.570e-02
  239     792    1.204787e-01    1.645e-08    2.165e-06    1.655e-02
  240     799    1.204787e-01    1.668e-08    2.898e-07    1.649e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  241     800    1.204785e-01    2.020e-05    1.266e-03    1.885e-02
